Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Vârfu Țiganului,țigan,3,46.532011694327,23.6559722244737,Cluj,Înălțime,8140,Vârfu Țiganului,Geomil 25000,Limba română
Movila Țiganului,țigan,3,44.68494410829,27.9788035070019,Constanta,Înălțime,3203,Movila Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.0461477997662,27.7094669182396,Constanta,Vale,12739,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.0959893429986,28.0241029481297,Constanta,Vale,13638,Valea Țiganului,Geomil 25000,Limba română
Muntele Țiganului,țigan,3,46.2245785285283,25.7328776927728,Covasna,Înălțime,4371,Muntele Țiganului,Geomil 25000,Limba română
Pârâul Țiganului,țigan,3,45.8575112338197,26.3270863909218,Covasna,Vale,10959,Pârâul Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.7798848539256,26.3191009556198,Covasna,Vale,2115,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.9530560106278,25.5643688220726,Dambovita,Vale,10078,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,45.0292026609926,25.2442261511836,Dambovita,Vale,11071,Valea Țiganului,PDT,Limba română
Balta Țiganului,țigan,3,43.8729408185319,23.4083592290579,Dolj,Apă-deal-câmpie,10516,Balta Țiganului,PDT,Limba română
Câmpul Țiganului,țigan,3,44.4396972019875,23.2069207713532,Dolj,Câmp,14190,Câmpul Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,44.1865747399087,23.3499360030076,Dolj,Deal,147,Dealul Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,44.5483460509375,23.8968420999905,Dolj,Deal,381,Dealul Țiganului,Geomil 25000,Limba română
Drumul Țiganului,țigan,3,44.1649671154674,23.7941572942368,Dolj,Drum,7715,Drumul Țiganului,PDT,Limba română
Fântâna Țiganului,țigan,3,44.2360096802656,24.1010753831497,Dolj,Altele,7732,Fântâna Țiganului,PDT,Limba română
Fântâna Țiganului,țigan,3,44.4034838063327,23.7865537530482,Dolj,Altele,12174,Fântâna Țiganului,PDT,Limba română
Grindul Țiganului,țigan,3,43.8313542526402,23.5815512137551,Dolj,Apă-deal-câmpie,3795,Grindul Țiganului,PDT,Limba română
Lacul Țiganului,țigan,3,44.1873020732229,23.6635348645776,Dolj,Lac,3350,Lacul Țiganului,PDT,Limba română
Lacul Țiganului,țigan,3,44.2533621911554,23.6135669693889,Dolj,Lac,3360,Lacul Țiganului,PDT,Limba română
Măgura Țiganului,țigan,3,43.9261870831925,23.7286180509262,Dolj,Înălțime,8108,Măgura Țiganului,PDT,Limba română
Măgura Țiganului,țigan,3,44.2124596248551,24.0687472589214,Dolj,Înălțime,11161,Măgura Țiganului,PDT,Limba română
Măgura Țiganului,țigan,3,43.873814577233,23.7401339639148,Dolj,Înălțime,14410,Măgura Țiganului,ANCPI,Limba română
Valea Țiganului,țigan,3,44.374649550969,23.806941732011,Dolj,Vale,403,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.1886696082773,23.667901586807,Dolj,Vale,3349,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,43.8272515286092,23.7948604952858,Dolj,Vale,10513,Valea Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,45.8248340592448,28.0811175313816,Galati,Deal,10907,Dealul Țiganului,Geomil 25000,Limba română
Fântâna Țiganului,țigan,3,45.8693272104251,28.0974974288856,Galati,Altele,3515,Fântâna Țiganului,PDT,Limba română
Râpa Țiganului,țigan,3,46.0620857378235,27.344374039387,Galati,Altele,3935,Râpa Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,46.0586849516338,27.8199944632164,Galati,Vale,7370,Valea Țiganului,Geomil 25000,Limba română
